iter	Passed	Remaining
0	152	152689
1	163	81675
2	174	58112
3	186	46363
4	197	39224
5	208	34533
6	219	31109
7	230	28566
8	240	26504
9	251	24939
10	262	23610
11	273	22528
12	284	21616
13	295	20798
14	307	20195
15	317	19543
16	327	18964
17	339	18529
18	350	18082
19	361	17710
20	372	17362
21	383	17026
22	394	16740
23	405	16471
24	415	16204
25	425	15927
26	436	15728
27	447	15533
28	458	15340
29	470	15203
30	481	15050
31	492	14892
32	503	14756
33	514	14625
34	524	14469
35	535	14348
36	547	14237
37	557	14120
38	568	14001
39	579	13908
40	590	13810
41	601	13728
42	613	13643
43	623	13556
44	635	13494
45	647	13426
46	658	13354
47	669	13280
48	680	13214
49	691	13143
50	702	13075
51	714	13019
52	725	12963
53	736	12902
54	747	12849
55	758	12789
56	769	12733
57	780	12670
58	791	12619
59	802	12564
60	812	12508
61	823	12457
62	834	12413
63	845	12371
64	856	12327
65	867	12279
66	878	12234
67	889	12196
68	900	12150
69	911	12108
70	922	12067
71	933	12026
72	944	11987
73	955	11957
74	966	11914
75	977	11885
76	988	11851
77	999	11811
78	1010	11780
79	1021	11745
80	1032	11709
81	1043	11678
82	1054	11652
83	1065	11618
84	1076	11584
85	1087	11552
86	1097	11515
87	1108	11485
88	1119	11456
89	1131	11438
90	1142	11413
91	1153	11382
92	1164	11353
93	1175	11327
94	1186	11299
95	1197	11274
96	1208	11250
97	1219	11224
98	1230	11194
99	1240	11165
100	1251	11136
101	1261	11109
102	1273	11087
103	1283	11061
104	1296	11046
105	1306	11019
106	1317	10995
107	1328	10970
108	1338	10944
109	1349	10918
110	1360	10897
111	1371	10875
112	1382	10850
113	1393	10827
114	1404	10807
115	1414	10783
116	1425	10760
117	1436	10738
118	1447	10715
119	1458	10695
120	1469	10676
121	1480	10652
122	1491	10633
123	1502	10613
124	1513	10591
125	1524	10572
126	1535	10552
127	1545	10530
128	1557	10512
129	1567	10492
130	1578	10472
131	1589	10454
132	1600	10434
133	1611	10414
134	1623	10400
135	1634	10381
136	1645	10363
137	1656	10344
138	1667	10327
139	1677	10306
140	1689	10289
141	1699	10271
142	1710	10253
143	1721	10233
144	1732	10216
145	1743	10198
146	1754	10181
147	1765	10163
148	1776	10145
149	1788	10134
150	1799	10116
151	1809	10097
152	1820	10079
153	1831	10061
154	1841	10041
155	1853	10025
156	1863	10006
157	1874	9989
158	1885	9972
159	1896	9957
160	1907	9938
161	1917	9921
162	1928	9904
163	1939	9885
164	1950	9871
165	1961	9855
166	1971	9836
167	1982	9818
168	1993	9802
169	2003	9783
170	2014	9766
171	2025	9749
172	2035	9732
173	2046	9716
174	2057	9701
175	2068	9685
176	2079	9667
177	2090	9653
178	2100	9635
179	2111	9620
180	2122	9604
181	2133	9587
182	2144	9572
183	2154	9555
184	2165	9539
185	2176	9523
186	2186	9507
187	2197	9492
188	2208	9476
189	2219	9461
190	2230	9448
191	2241	9433
192	2252	9416
193	2263	9402
194	2275	9392
195	2286	9379
196	2298	9367
197	2309	9353
198	2320	9339
199	2330	9323
200	2341	9308
201	2352	9293
202	2363	9280
203	2374	9266
204	2385	9251
205	2396	9237
206	2407	9223
207	2419	9211
208	2429	9195
209	2441	9183
210	2452	9169
211	2462	9154
212	2473	9140
213	2484	9125
214	2495	9111
215	2506	9097
216	2517	9082
217	2527	9067
218	2538	9052
219	2549	9038
220	2560	9024
221	2571	9011
222	2584	9006
223	2597	8996
224	2610	8990
225	2620	8975
226	2630	8956
227	2639	8938
228	2649	8919
229	2659	8902
230	2669	8885
231	2682	8880
232	2693	8866
233	2703	8850
234	2713	8834
235	2724	8818
236	2736	8809
237	2747	8796
238	2758	8784
239	2771	8775
240	2784	8768
241	2796	8760
242	2809	8751
243	2820	8738
244	2832	8728
245	2843	8714
246	2854	8701
247	2865	8688
248	2875	8672
249	2885	8657
250	2896	8641
251	2906	8628
252	2917	8612
253	2927	8597
254	2938	8583
255	2948	8569
256	2959	8555
257	2969	8541
258	2980	8528
259	2991	8514
260	3002	8501
261	3012	8485
262	3023	8471
263	3033	8457
264	3044	8442
265	3054	8428
266	3065	8414
267	3075	8401
268	3086	8387
269	3098	8378
270	3110	8366
271	3121	8355
272	3133	8344
273	3145	8333
274	3156	8320
275	3167	8307
276	3178	8296
277	3189	8283
278	3200	8270
279	3211	8257
280	3222	8245
281	3233	8231
282	3244	8220
283	3255	8207
284	3267	8197
285	3279	8186
286	3289	8172
287	3300	8159
288	3312	8148
289	3322	8135
290	3333	8122
291	3344	8110
292	3355	8096
293	3366	8084
294	3378	8073
295	3389	8060
296	3400	8049
297	3411	8036
298	3422	8024
299	3441	8029
300	3455	8024
301	3467	8013
302	3479	8005
303	3494	8000
304	3507	7991
305	3521	7985
306	3535	7980
307	3549	7973
308	3560	7961
309	3575	7958
310	3591	7955
311	3602	7944
312	3614	7933
313	3625	7921
314	3637	7910
315	3650	7901
316	3664	7895
317	3678	7888
318	3690	7877
319	3700	7863
320	3711	7850
321	3722	7838
322	3733	7824
323	3743	7810
324	3754	7798
325	3766	7786
326	3777	7775
327	3788	7761
328	3798	7747
329	3809	7735
330	3820	7721
331	3831	7708
332	3841	7694
333	3852	7681
334	3862	7667
335	3873	7654
336	3883	7640
337	3894	7627
338	3905	7614
